subject,Shipley,Age,Shipley_standardized,Sex,Group,Ethnicity_temp,Ethnicity,Eng_First_Lang,Education,Session Date (mm/dd/yyyy)
101,35,18,122,M,Younger,Japanese/Korean/Chinese,East Asian,1,13,03-01-2019
102,27,19,102,F,Younger,Japanese/Korean/Chinese,East Asian,0,13,03-02-2019
103,33,18,117,F,Younger,Bengali,South Asian,0,13,03-04-2019
105,37,19,127,F,Younger,White,Caucasian,1,13,03-04-2018
106,28,19,105,F,Younger,Japanese/Korean/Chinese,East Asian,0,12,03-07-2019
107,32,18,115,F,Younger,Indian/Pakistani/Sri Lankan,South Asian,0,13,03-08-2019
110,25,18,97,F,Younger,White,Caucasian,1,12,03-13-2019
111,30,22,106,M,Younger,Indian/Pakistani/Sri Lankan,South Asian,0,16,03-19-2019
113,32,18,115,M,Younger,Japanese/Korean/Chinese,East Asian,0,13,03-23-2019
115,26,19,100,F,Younger,White,Caucasian,1,13,03-26-2019
116,34,18,120,M,Younger,West Indian,South Asian,1,12,n/a
117,25,24,93,F,Younger,East Asian,East Asian,0,14,03-29-2019
118,27,18,102,M,Younger,Middle Eastern,Middle Eastern,1,13,03-29-2019
119,24,19,95,M,Younger,Japanese/Korean/Chinese,East Asian,0,14,05-15-2019
120,24,19,95,F,Younger,Japanese/Korean/Chinese,East Asian,0,13,05-15-2019
121,33,18,117,M,Younger,Japanese/Korean/Chinese,East Asian,1,13,05-15-2019
124,26,19,100,F,Younger,Japanese/Korean/Chinese,East Asian,0,13,05-16-2019
125,30,18,110,M,Younger,Middle Eastern,Middle Eastern,0,13,05-16-2019
126,33,18,117,F,Younger,White,Caucasian,0,13,05-17-2019
128,30,18,110,M,Younger,Japanese/Korean/Chinese,East Asian,0,13,05-17-2019
131,34,19,120,F,Younger,Japanese/Korean/Chinese,East Asian,0,13,05-17-2019
132,30,21,106,M,Younger,Indian/Pakistani/Sri Lankan,South Asian,1,15,n/a
135,27,18,102,F,Younger,White,Caucasian,0,13,05-22-2019
136,26,21,96,F,Younger,White,Caucasian,1,16,05-23-2019
138,29,20,103,F,Younger,White ,Caucasian,1,15,05-24-2019
139,33,18,117,M,Younger,Japanese/Korean/Chinese,East Asian,1,13,05-25-2019
140,28,19,105,F,Younger,Middle Eastern,Middle Eastern,0,13,n/a
141,24,19,95,F,Younger,Japanese/Korean/Chinese,East Asian,0,14,05-24-2019
142,30,18,110,F,Younger,White,Caucasian,1,13,05-24-2019
143,34,20,116,F,Younger,Japanese/Korean/Chinese,East Asian,1,14,05-27-2019
144,27,21,98,F,Younger,Japanese/Korean/Chinese,East Asian,1,15,05-28-2019
145,31,19,112,F,Younger,Japanese/Korean/Chinese,East Asian,1,13,05-28-2019
146,28,19,105,F,Younger,Japanese/Korean/Chinese,East Asian,0,13,06-26-2019
147,25,18,97,F,Younger,Middle Eastern,Middle Eastern,0,12,09-17-2019
150,35,18,122,F,Younger,"White, Aboriginal/First Nations, Hispanic/Latino, Middle Eastern",Mixed,1,13,09-18-2019
151,27,24,98,M,Younger,Indian/Pakistani/Sri Lankan,South Asian,1,14,09-18-2019
152,37,17,127,M,Younger,Vietnamese,Southeast Asian,1,12,09-18-2019
153,27,17,102,F,Younger,Japanese/Korean/Chinese,East Asian,0,12,09-18-2019
154,30,31,102,F,Younger,Japanese/Korean/Chinese,East Asian,0,18,09-18-2019
155,32,18,115,F,Younger,Indian/Pakistani/Sri Lankan,South Asian,0,12,09-19-2019
156,26,24,96,F,Younger,Japanese/Korean/Chinese,East Asian,0,15,09-19-2019
157,26,19,100,M,Younger,"Japanese/Korean/Chinese, Filipino/Malaysian/Indonesian",Mixed,0,13,09-19-2019
158,36,17,125,M,Younger,White,Caucasian,1,12,09-19-2019
159,28,17,105,M,Younger,"White, Indian/Pakistani/Sri Lankan",Mixed,1,12,09-23-2019
160,34,19,120,F,Younger,African,Black,0,13,09-23-2019
161,31,18,112,M,Younger,Mixed ,Mixed,1,14,09-23-2019
163,29,20,103,F,Younger,Japanese/Korean/Chinese,East Asian,0,14,09-24-2019
164,30,18,110,F,Younger,Japanese/Korean/Chinese,East Asian,1,13,09-24-2019
166,29,18,107,F,Younger,White,Caucasian,0,12,09-25-2019
167,32,18,115,F,Younger,Filipino/Malaysian/Indonesian,Southeast Asian,0,12,09-25-2019
170,28,19,105,M,Younger,Japanese/Korean/Chinese,East Asian,1,14,09-26-2019
171,29,18,107,F,Younger,Indian/Pakistani/Sri Lankan,South Asian,1,12,09-26-2019
173,24,20,91,F,Younger,Middle Eastern,Middle Eastern,0,14,09-27-2019
175,29,19,107,F,Younger,Japanese/Korean/Chinese,East Asian,0,12,09-30-2019
176,28,18,105,M,Younger,Indian/Pakistani/Sri Lankan,South Asian,1,12,09-30-2019
179,25,17,97,F,Younger,Indian/Pakistani/Sri Lankan,South Asian,0,13,10-01-2019
180,31,18,112,M,Younger,Filipino/Malaysian/Indonesian,Southeast Asian,0,12,10-01-2019
181,27,19,102,F,Younger,Japanese/Korean/Chinese,East Asian,0,13,10-02-2019
182,28,19,105,F,Younger,Japanese/Korean/Chinese,East Asian,0,13,10-02-2019
183,27,22,98,F,Younger,White,Caucasian,1,17,10-03-2019
185,27,19,102,F,Younger,Japanese/Korean/Chinese,East Asian,1,13,10-10-2019
187,29,19,107,F,Younger,White,Caucasian,1,12,10-08-2019
188,24,17,95,F,Younger,Japanese/Korean/Chinese,East Asian,0,12,10-09-2019
191,31,18,112,F,Younger,White,Caucasian,0,12,10-09-2019
192,26,19,100,F,Younger,Middle Eastern,Middle Eastern,1,12,10-10-2019
193,30,23,106,F,Younger,Middle Eastern,Middle Eastern,0,16,10-24-2019
302,32,64,100,F,Older,Japanese/Korean/Chinese,East Asian,0,14,06-17-2019
303,35,59,110,F,Older,Japanese/Korean/Chinese,East Asian,0,18,06-22-2019
304,34,62,105,F,Older,White,Caucasian,1,16,06-24-2019
305,32,73,100,M,Older,White,Caucasian,0,15,12-08-2019
306,36,82,110,M,Older,White,Caucasian,1,19,06-26-2019
307,35,61,108,F,Older,White,Caucasian,1,20,07-03-2019
308,34,57,107,F,Older,White,Caucasian,1,17,07-04-2019
309,38,58,118,F,Older,White,Caucasian,1,18,07-05-2019
310,34,63,105,F,Older,White,Caucasian,1,19,07-05-2019
311,37,68,114,M,Older,White,Caucasian,1,15,07-08-2019
312,38,59,118,F,Older,White,Caucasian,1,16,07-10-2019
313,35,64,108,M,Older,White,Caucasian,1,18,07-11-2019
314,38,84,115,M,Older,White,Caucasian,1,18,07-15-2019
315,39,62,119,M,Older,White,Caucasian,1,17,07-15-2019
316,37,70,114,F,Older,N/A,NA,1,17,missing
317,38,65,116,F,Older,White,Caucasian,0,15,07-23-2019
318,35,67,108,M,Older,White,Caucasian,1,15,07-26-2019
319,35,55,110,F,Older,White,Caucasian,1,17,missing
320,27,71,91,M,Older,African Canadian,Black,1,17,09-19-2019
321,34,76,105,M,Older,White,Caucasian,1,24,missing
322,31,58,99,F,Older,"Mixed Race (East Indian, Scottish, Portuguese)",Mixed,1,40,10-17-2019
323,39,68,119,M,Older,White,Caucasian,1,20,10-21-2019
324,34,61,105,M,Older,White,Caucasian,1,17,10-24-2019
325,37,59,115,M,Older,White,Caucasian,1,17,10-28-2019
326,36,61,111,F,Older,Indian/Pakistani/Sri Lankan,South Asian,1,14,10-28-2019
327,36,79,110,M,Older,White,Caucasian,1,15,10-29-2019
329,29,72,92,F,Older,"Middle Eastern, Indian/Pakistani/Sri Lankan",Mixed,1,21,11-12-2019
330,27,71,91,F,Older,Chinese,East Asian,0,18,11-14-2019
331,36,69,111,F,Older,White,Caucasian,0,18,missing
332,34,80,105,M,Older,White,Caucasian,1,20,
333,27,72,91,F,Older,White,Caucasian,1,12,
335,30,72,94,F,Older,Filipino,Southeast Asian,0,20,
336,32,75,100,M,Older,NA,NA,1,NA,
338,38,85,115,M,Older,Jewish,Caucasian,1,17,
339,36,82,110,M,Older,NA,NA,NA,NA,
340,31,73,97,F,Older,White,Caucasian,1,20,
341,37,82,113,F,Older,French German white,Caucasian,1,25,
342,36,79,110,F,Older,Irish,Caucasian,1,7,
343,32,75,100,F,Older,Guyanese (East Indian),South Asian,1,20,
344,34,76,105,F,Older,Caucasian,Caucasian,1,19,
345,38,84,115,F,Older,Swiss German,Caucasian,0,NA,
346,39,86,118,F,Older,white,Caucasian,1,21,
347,36,79,110,F,Older,german,Caucasian,0,14,
348,36,79,110,F,Older,East Indian,South Asian,1,41,
349,40,79,120,F,Older,NA,NA,NA,NA,
351,33,76,102,F,Older,Black,Black,1,16,
352,36,79,110,M,Older,Afro/ Caribbean ,Black,NA,26,
353,36,79,110,F,Older,NA,NA,NA,NA,
354,34,80,105,F,Older,Caucasian ,Caucasian,1,18,
355,35,76,107,M,Older,Caucasian,Caucasian,1,17,
356,36,81,110,F,Older,English/Canadian ,Caucasian,1,21,
357,35,78,107,F,Older,Indian,South Asian,0,22,
359,37,84,113,F,Older,NA,NA,1,18,
360,34,76,105,F,Older,white,Caucasian,1,14,
362,40,79,120,F,Older,Anglosaxon,Caucasian,1,21,
363,35,77,107,F,Older,Western European ,Caucasian,0,15,09-13-2022
364,35,77,107,F,Older,Caucasian,Caucasian,0,15,09-14-2022
365,35,80,108,F,Older,scottish - anglo saxon ,Caucasian,1,14,09-16-2022
366,35,76,107,F,Older,East Indian (from India),South Asian,1,16,09-16-2022
367,35,76,107,F,Older,NA,NA,1,17,09-22-2022
368,39,79,118,F,Older,English/ Irish/ Asian ,Caucasian,1,16,09-29-2022
370,39,79,118,F,Older,caucasian,Caucasian,1,8,10-13-2022
371,37,83,113,F,Older,Caucasian,Caucasian,1,28,10-17-2022
373,35,77,107,F,Older,Polish/Ukranian,Caucasian,1,24,10-26-2022
374,34,80,105,M,Older,Polish & Ukrainian,Caucasian,1,16,11-03-2022
381,37,69,114,F,Older,caucasian,Caucasian,1,25,01-16-2023